,mistake,correct_answer,context,question
48,['Frederick McCubbin'],Hilda Rix Nicholas,"Hilda Rix Nicholas (née Rix, later Wright, 1 September 1884 – 3 August 1961) was an Australian artist. Hilda Rix was born in the Victorian city of Ballarat. Her father was an education administrator and poet, her mother was a musician and artist. She studied under a leading member of the Heidelberg School, Frederick McCubbin, at the National Gallery of Victoria Art School from 1902 to 1905 and was an early member of the Melbourne Society of Women Painters and Sculptors. Following the death of her father in 1907, Hilda Rix, her only sibling Elsie and her mother travelled to Europe where she undertook further study in London and then in Paris. Her teachers during the period included John Hassall, Richard Emil Miller and Théophile Steinlen.
After travelling to Tangiers in 1912, Rix held several successful exhibitions of her work, with one drawing, Grande marche, Tanger, purchased by the French government. She was one of the first Australians to paint post-impressionist landscapes, was made a member of the Société des Peintres Orientalistes Français, and had works hung in the Paris Salon first in 1911 and again in 1913. The family evacuated from France to England after the outbreak of World War I. A period of personal tragedy followed, as Rix's sister died in 1914, then her mother in 1915. In 1916 she met and married George Matson Nicholas, only to be widowed the next month when he was killed on the Western Front.
Returning to Australia in 1918, Rix Nicholas once more took up professional painting, and held an exhibition of over a hundred works at Melbourne's Guild Hall. Many sold, including In Picardy, purchased by the National Gallery of Victoria. Following a period painting in rural locations in the early 1920s, Rix Nicholas returned to Europe. A 1925 exhibition in Paris led to the sale of her work In Australia to the Musée du Luxembourg, followed by an extensive tour of her paintings around regional British art galleries. There followed representation in other exhibitions, including at the International Society of Sculptors, Painters and Gravers, and the Royal Academy of Arts, both in London. Following the inclusion of several works in the 1926 Société Nationale des Beaux-Arts Spring exhibition in Paris she was made an Associate of that organisation.",What is the full name of the person who studied at the National Gallery of Victoria Art School?
49,['Todd Acosta'],Eric,"Todd Acosta, his girlfriend Sarah Fletcher, and their new carpooling friends Jodi, Keren, Jeff, and Eric become stranded on a remote country road when their SUV suffers a tire blowout. While changing the tire, Jeff is suddenly killed by silent sniper fire. The unseen sniper shoots Sarah next, prompting Eric to take cover behind a tree stump while Jodi, Keren, and Todd hide behind the vehicle. The sniper shoots a cellphone off a selfie stick when the trio behind the vehicle tries getting a signal to call 911. Keren uses her hoodie to create a distraction while Todd, who is additionally suffering from a slug lodged in his arm, unsuccessfully attempts to put the SUV in neutral so it can be moved for rolling cover. Eric uses a video shot from his cellphone camera to determine the sniper's position.
Todd retrieves a toolbox and duct tapes its metal lid to his arm for protection. Although he takes another shot in the process, Todd manages to get the SUV rolling on his second attempt. However, the SUV rolls in the opposite direction until the sniper shoots out another tire and disables it. Eric tries running toward nearby trees in the commotion. The sniper shoots Eric in his ankle as well as his leg. Eric hits the ground and eventually passes out.
Keren uses a lighter to heat a hammerhead for cauterizing Todd's arm wound. After retrieving a water bottle from the backseat and taking swigs themselves, the trio tosses the bottle to Eric. The sniper shoots Eric through his hand when he tries taking a sip. During a quiet moment, Todd tells Jodi and Keren that his girlfriend Sarah was pregnant, but lost their baby. Lost in reflection and losing hope, Todd goes to drape a shirt over Sarah's face. Surprisingly, the sniper does not fire. Eric eventually dies from blood loss.",Which carpooling friend dies from blood loss?
50,['Mrs. Ashley'],Elizabeth,"Following the execution of her mother, Anne Boleyn, for infidelity, Elizabeth is exiled to Hatfield House and declared illegitimate (thereby losing her place in line of succession the throne) by her father, King Henry VIII. She is accompanied by her loyal servants, Mr. Parry and her governess Mrs. Ashley. Over the years, her position rises and falls on the whim of her father.
The child is periodically summoned to return to London to become acquainted with Henry's latest spouse. When Henry marries his last wife, Catherine Parr, the now-teenage Elizabeth finally rebels against her latest summons. However, the suave, handsome Lord Admiral Thomas Seymour persuades her to change her mind, and Elizabeth and Catherine become good friends. Meanwhile, Henry is impressed and amused by the resolute defiance of his daughter (once again declared legitimate).
When Henry dies, Thomas's scheming brother Ned takes over as Lord Protector and guardian of King Edward VI during his minority, overriding Henry's wish that Thomas raise the boy. Ned and Thomas do not like each other, and Ned's fear of his brother's ambition grows with each of Thomas's naval triumphs.",Who does the governess accompany?
51,['Michael Jackson'],Perry,"Katheryn Elizabeth Hudson (born October 25, 1984), known professionally as Katy Perry, is an American singer, songwriter, and television judge. After singing in church during her childhood, she pursued a career in gospel music as a teenager. Perry signed with Red Hill Records and released her debut studio album Katy Hudson under her birth name in 2001, which was commercially unsuccessful. She moved to Los Angeles the following year to venture into secular music after Red Hill ceased operations and she subsequently began working with producers Glen Ballard, Dr. Luke, and Max Martin. After adopting the stage name Katy Perry and being dropped by The Island Def Jam Music Group and Columbia Records, she signed a recording contract with Capitol Records in April 2007.
Perry rose to fame in 2008 with the release of her second album, a pop rock record titled One of the Boys, and its singles ""I Kissed a Girl"" and ""Hot n Cold"". The former track also sparked controversy for its sapphic themes. Her third album, Teenage Dream (2010), ventured into disco, and was her first album to top the U.S. Billboard 200. It topped the U.S. Billboard Hot 100 with the singles ""California Gurls"", ""Teenage Dream"", ""Firework"", ""E.T."", and ""Last Friday Night (T.G.I.F.)"", while ""The One That Got Away"" reached number three on the chart. The album became the first by a female artist to produce five number-one songs in the U.S., and the second overall after Michael Jackson's album Bad. In March 2012, she re-issued the album as Teenage Dream: The Complete Confection, which produced the songs ""Part of Me"" and ""Wide Awake"". Her fourth album, Prism (2013), was her second to peak atop the U.S. charts. It is influenced by pop and dance, and she became the first artist with multiple videos to reach one billion views on Vevo with the videos for its songs ""Roar"" and ""Dark Horse"". Her fifth album, Witness (2017), delved into electropop and became her third album to reach number one in the U.S. ""Chained to the Rhythm"" was the album's most successful single, breaking Spotify's record at the time for most first-day streams for a song by a female artist.
Perry has received various awards, including four Guinness World Records, five American Music Awards, a Brit Award, and a Juno Award, and has been included in the annual Forbes lists of highest-earning women in music from 2011–2018. Her estimated net worth as of 2016 is $125 million. She is one of the best-selling music artists of all time, having sold more than 100 million records globally throughout her career. In film, she released an autobiographical documentary titled Katy Perry: Part of Me in 2012, and voiced Smurfette in the 2011 film The Smurfs and its sequel in 2013. Perry also began serving as a judge on American Idol in 2018.",What is the better-known last name of the person who ventured into secular music after Red Hill ceased operations?
52,['Al-Thani Family'],Pei,"The experience was rewarding for Pei, and he agreed immediately to work with the group again. The new project was the Miho Museum, to display Koyama's collection of tea ceremony artifacts. Pei visited the site in Shiga Prefecture, and during their conversations convinced Koyama to expand her collection. She conducted a global search and acquired more than 300 items showcasing the history of the Silk Road.One major challenge was the approach to the museum. The Japanese team proposed a winding road up the mountain, not unlike the approach to the NCAR building in Colorado. Instead, Pei ordered a hole cut through a nearby mountain, connected to a major road via a bridge suspended from ninety-six steel cables and supported by a post set into the mountain. The museum itself was built into the mountain, with 80 percent of the building underground.When designing the exterior, Pei borrowed from the tradition of Japanese temples, particularly those found in nearby Kyoto. He created a concise spaceframe wrapped into French limestone and covered with a glass roof. Pei also oversaw specific decorative details, including a bench in the entrance lobby, carved from a 350-year-old keyaki tree. Because of Koyama's considerable wealth, money was rarely considered an obstacle; estimates at the time of completion put the cost of the project at US$350 million.During the first decade of the 2000s, Pei designed a variety of buildings, including the Suzhou Museum near his childhood home. He also designed the Museum of Islamic Art in Doha, Qatar at the request of the Al-Thani Family. Although it was originally planned for the corniche road along Doha Bay, Pei convinced project coordinators to build a new island to provide the needed space. He then spent six months touring the region and surveying mosques in Spain, Syria, and Tunisia. He was especially impressed with the elegant simplicity of the Mosque of Ibn Tulun in Cairo.
Once again, Pei sought to combine new design elements with the classical aesthetic most appropriate for the location of the building. The rectangular boxes rotate evenly to create a subtle movement, with small arched windows at regular intervals into the limestone exterior. The museum's coordinators were pleased with the project; its official website describes its ""true splendour unveiled in the sunlight"", and speaks of ""the shades of colour and the interplay of shadows paying tribute to the essence of Islamic architecture"".
The Macao Science Center in Macau was designed by Pei Partnership Architects in association with I. M. Pei. The project to build the science center was conceived in 2001 and construction started in 2006. The center was completed in 2009 and opened by the Chinese President Hu Jintao.",What is the name of the person that designed the Museum of Islamic Art?
53,['Peter'],Henry Tippett,"Shortly after Michael's birth, the family moved to Wetherden in Suffolk. Michael's education began in 1909, with a nursery governess and various private tutors who followed a  curriculum that included piano lessons—his first formal contact with music. There was a piano in the house, on which he ""took to improvising crazily ... which I called 'composing', though I had only the vaguest notion of what that meant"". In September 1914 Michael became a boarder at Brookfield Preparatory School in Swanage, Dorset. He spent four years there, at one point earning notoriety by writing an essay that challenged the existence of God. In 1918 he won a scholarship to Fettes College, a boarding school in Edinburgh, where he studied the piano, sang in the choir, and began to learn to play the pipe organ. The school was not a happy place; sadistic bullying of the younger pupils was commonplace. When Michael revealed to his parents in March 1920 that he had formed a homosexual relationship with another boy, they removed him. He transferred to Stamford School in Lincolnshire, where a decade previously Malcolm Sargent had been a pupil.Around this time Henry Tippett decided to live in France, and the house in Wetherden was sold. The 15-year-old Michael and his brother Peter remained at school in England, travelling to France for their holidays. Michael found Stamford much more congenial than Fettes, and developed both academically and musically. He found an inspiring piano teacher in Frances Tinkler, who introduced him to the music of Bach, Beethoven, Schubert and Chopin. Sargent had maintained his connection with the school, and was present when Tippett and another boy played a C minor Concerto for Two Harpsichords by Bach on pianos with a local string orchestra. Tippett sang in the chorus when Sargent directed a local performance of Robert Planquette's operetta Les Cloches de Corneville. Despite his parents' wish that he follow an orthodox path by proceeding to Cambridge University, Tippett had firmly decided on a career as a composer, a prospect that alarmed them and was discouraged by his headmaster and by Sargent.By mid-1922 Tippett had developed a rebellious streak. His overt atheism particularly troubled the school, and he was required to leave. He remained in Stamford in private lodgings, while continuing lessons with  Tinkler and with the organist of St Mary's Church. He also began studying Charles Villiers Stanford's book Musical Composition which, he later wrote, ""became the basis of all my compositional efforts for decades to come"". In 1923 Henry Tippett was persuaded that some form of musical career, perhaps as a concert pianist, was possible, and agreed to support his son in a course of study at the Royal College of Music (RCM). After an interview with the college principal, Sir Hugh Allen, Tippett was accepted despite his lack of formal entry qualifications.",What is the first name of Michael's father? 
54,['Henrietta'],Rachel,"The film opens on Rachel and Hector's (Matthew Goode) wedding day in North London, England. Rachel's bossy and overbearing mother, Tess, is in charge of planning the wedding. Rachel's dazed father Ned and her much younger sister Henrietta are  supportive. Prior to Rachel arriving and the ceremony beginning, flower shop owner Luce who was contracted by Tess as the wedding florist, and Henrietta are rushing along while chatting with Hector and Cooper ""Coop"" (Darren Boyd). Luce answers Henrietta's trick question which makes Henrietta take an immediate liking to her, and she asks if Luce can sit by her during the wedding. Rachel arrives with her father and the ceremony begins. As Rachel is walking down the aisle, her eyes wander and she makes eye contact with Luce. The ceremony continues according to plan, and Rachel and Hector marry. At the reception afterwards, Luce introduces herself to Rachel as the one who did the flowers as she is about to get punch. Rachel nervously blocks Luce's attempt to get a drink, and when she questions why she can't have any, Rachel reveals that her wedding ring accidentally fell in. The two share a moment together, but it is over after Luce fishes the ring out of the punch bowl and goes on her way.
Some time later, Rachel goes to Luce's shop and invites her to dinner with Hector and, unknown to Luce, Cooper, a perennial bachelor and self-professed Lothario. Rachel has planned to set up Luce with Coop, while Luce confides to Heck moments before Coop arrives that she's a lesbian. Heck takes this news in stride and is bemused as Coop is undeterred in his attempts to seduce Luce. During the meal, when Coop starts bragging, Luce espouses she believes in love at first sight, while Rachel says it takes time to find the right person. Later on that night, Rachel and Luce share a moment together on the balcony as it rains.",Who is the sister of the woman who asks the florist to sit by her?
55,['Alice Hughes'],Richard,"Richard ""Dick"" Purcell, a taxi driver, aspires to achieve his dream of becoming a singer. After a couple of theatre critics discover him while riding in his cab, one of them recommends him to a radio producer. The producer's secretary, Alice Hughes, hears him sing and falls in love with him. She sets up an audition for Dick to sing for the sponsor, Mrs. Flaggenheim. He's late for his audition and blows his big chance. 
Convinced she must go to Italy to find a good enough singer, with enough ""romance"" to represent her fine cheese products, Mrs. Flaggenheim takes Alice with her to find one in Venice. Dick watches as Alice boards the ship and manages to get on board and work for his passage to Italy. When in Venice, he looks up his friend and mentor from New York City, professor de Vinci, who had gone ahead to use his old connections to help Dick's singing career. They manage to score a couple of jobs as gondoliers for an upcoming event.
Dick uses the opportunity to showcase his voice. Mrs. Flaggenheim hears him and wants to sign him to a contract immediately, thinking he's an authentic Italian named ""Ricardo Purcelli"". Alice recognizes him, but they continue to hide his true identity and they all go back to New York, where he quickly becomes a radio sensation. Alice's jilted boyfriend finds out Ricardo Purcelli is actually just Dick and gives him an ultimatum. Dick must decide if he wants to continue masquerading as Ricardo and finally attain the fame and fortune he'd always dreamed of....or give it all up for Alice, the one he loves.",What's the first name of the person the radio producer's secretary falls in love with?
56,['girls'],Sequoia,"When charter-boat skipper Jack O'Conner finds a gold Spanish dollar off the Florida Keys, he decides to go in search of a legendary hoard of Spanish doubloons sunk during the ""Hundred Years Storm"" of 1780. For, as Jack's friend Cap'n Billau reveals, the coin bears a clue to the treasure's whereabouts – one of four islands etched by the infamous pirate, Jacques Un-Oeil upon the original doubloon. At Billau's urging, Jack tracks down the two beautiful women who unknowingly hold the remaining clues.
Streetwise Sandy Sequoia's piece of eight came from her murdered drug dealer boyfriend in Miami. And lonely-heart Portia Pennington inherited her coin from her merchant tycoon grandfather, who died at sea in the ""Hundred Years Storm"" of 1893, while hunting for the lost gold.
Jack convinces the girls to go in search of the pirate treasure with him. But first, the two must learn to crew his 76' schooner; and then, all three adventurers must learn to trust one another, if they expect to navigate the treacheries of love and the unpredictable Caribbean.
As Jack introduces the girls to life at sea, he starts to fall in love with Sandy. All seems to be going well, until Jack discovers Sandy with drugs on his boat – a kilo of her dead boyfriend's cocaine (which she has steadily been using since coming aboard). He has Portia dump the coke overboard; and while Sandy wrestles to overcome her addiction, Jack turns his attentions to Portia.
When Sandy and Portia realize that Jack has seduced each of them in turn and convinced each to reveal to him the name of the island on her coin, they turn on him. Feeling betrayed and realizing that they no longer need Jack in order to sail the boat or find the gold, they maroon him on a small island and go after the sunken treasure themselves.",What are the last names of the people Jack introduces to life at sea?
57,['mum'],Dorothy,"1974, the present. Dorothy Yates lives with her husband Edmund in an isolated farmhouse in Haslemere, Surrey. They have just been released from a mental institution to which they were committed in 1957 after it was found Dorothy was a cannibal who killed and partially ate at least six people. It is later revealed that her cannibalism can be understood as an attempt to cope with a childhood trauma when she found out that she had eaten parts of her pet rabbit that her parents had cooked and served as dinner. Although her husband Edmund was convicted, it is later revealed that he only faked his dementia in order to remain with his wife. He is a truly devoted husband who loves his wife dearly and does not take part in the actual acts of murder in 1957 and in the present, only helping in covering them up. Now, it seems as if Dorothy has had a severe relapse. She secretly lures lonely young people to her home, promising tea and a tarot card reading, only with the sessions ending with a violent murder and ""feast"".  
Jackie, Edmund's daughter by previous marriage, lives in London but secretely visits her dad and stepmum at night to bring her parcels containing animal brain, thereby implicitly feigning to commit murders for her so as to contain Dorothy's murderous urges. At the same time, Jackie tries to control her 15-year-old stepsister Debbie, Dorothy's actual daughter that she and Edmund had shortly before being committed to the asylum. Debbie has been recently thrown out of the orphanage. She now stays with Jackie and rides with her boyfriend Alec, head of a violent biker gang. Debbie incites Alec to start a fight with a barman in one of London's hip nightclubs because he denied her liquor due to her being underage. When they get thrown out, the bike gang later ambush and assault the barman with a chain but leave when spotted. Debbie, however, decides to stay behind and hides the body in the trunk of a car before the police arrive.",What is the first name of the person who ate parts of their pet rabbit?
58,['unreliable'],Grenzer,"Following the end of the Second World War, the East German side of the border was guarded initially by the Border Troops (Pogranichnyie Voiska) of the Soviet NKVD (later the KGB). They were supplemented from 1946 by a locally recruited paramilitary force, the German Border Police (Deutsche Grenzpolizei or DGP), before the Soviets handed over full control of the border to the East Germans in 1955/56. In 1961, the DGP was converted into a military force within the National People's Army (Nationale Volksarmee, NVA). The newly renamed Border Troops of the GDR (Grenztruppen der DDR, commonly nicknamed the Grenzer) came under the NVA's Border Command or Grenzkommando. They were responsible for securing and defending the borders with West Germany, Czechoslovakia, Poland, the Baltic Sea and West Berlin. At their peak, the Grenztruppen had up to 50,000 personnel.Around half of the Grenztruppen were conscripts, a lower proportion than in other branches of the East German armed forces. Many potential recruits were screened out as potentially unreliable; for instance, actively religious individuals or those with close relatives in West Germany. They were all subjected to close scrutiny to assure their political reliability and were given intensive ideological indoctrination.A special unit of the Stasi secret police worked covertly within the Grenztruppen, posing as regular border guards, between 1968 and 1985, to weed out potential defectors. One in ten officers and one in thirty enlisted men were said to have been recruited by the Stasi as informers. The Stasi regularly interviewed and maintained files on every guard. Stasi operatives were directly responsible for some aspects of security; passport control stations at crossings were manned by Stasi officers wearing Grenztruppen uniforms.The Grenztruppen were closely watched to ensure that they could not take advantage of their inside knowledge to escape across the border. Patrols, watchtowers and observation posts were always manned by two or three guards at a time. They were not allowed to go out of each other's sight in any circumstances. If a guard attempted to escape, his colleagues were under instructions to shoot him without hesitation or prior warning; 2,500 did escape to the West, 5,500 more were caught and imprisoned for up to five years, and a number were shot and killed or injured in the attempt.
The work of the guards involved carrying out repair work on the defences, monitoring the zone from watchtowers and bunkers and patrolling the line several times a day. Border Reconnaissance (Grenzaufklärungszug or GAK) soldiers, an elite reconnaissance force, carried out patrols and intelligence-gathering on the western side of the fence. Western visitors to the border were routinely photographed by the GAKs, who also oversaw work detachments maintaining the fence. The workers would be covered by machine guns to discourage them from attempting to escape.",What is the nickname of the group that screened out many potential recruits?
59,['Ann'],Diana,"For the third time, the evil Wishmaster returns to wreck the lives of more innocents. This time, his victim is a beautiful, innocent and studious teenage girl named Diana Collins who accidentally opened up the Djinn's tomb (a strange box with a jewel inside) and released him. After gaining his freedom, the Djinn is asked by Professor Barash to let him be the one who makes the wishes. The professor wishes for two of the world's loveliest ladies to be in love with him.
However, as soon as the Djinn grants this wish, the women kill the professor; the Djinn takes the face off of the dead professor and is able to steal his identity. He then kills a secretary by her wishing for ""files to burn up"" but instead of the files, she burns. He takes the student file of Diana in an effort to find her and force her to fulfill her three wishes. While Diana is on the run, she must endeavor to prevent the Djinn from subjecting the entire world to Hell's wrath. While in a Church thinking it was safe, the Djinn is there instead of the priest. Her friend Ann, who is now the ""professor's Teaching Assistant"" makes the wish of ""wanting to lose a little weight"", to which she pukes up her guts in pain. Diana uses her first wish for her to stop having pain, but of course to the Djinn that means killing Ann.",What is the first name of the person who has a friend who wishes to lose weight?
60,['Elektra-Nonesuch'],Symphony of Sorrowful Songs,"The Symphony No. 3, Op. 36, also known as the Symphony of Sorrowful Songs (Polish: Symfonia pieśni żałosnych), is a symphony in three movements composed by Henryk Górecki in Katowice, Poland, between October and December 1976. The work is indicative of the transition between Górecki's dissonant earlier manner and his more tonal later style and ""represented a stylistic breakthrough: austerely plaintive, emotionally direct and steeped in medieval modes."" It was premièred on 4 April 1977, at the Royan International Festival, with Stefania Woytowicz as soprano and Ernest Bour as conductor.A solo soprano sings Polish texts in each of the three movements. The first is a 15th-century Polish lament of Mary, mother of Jesus, the second a message written on the wall of a Gestapo cell during World War II, and the third a Silesian folk song of a mother searching for her son killed by the Germans in the Silesian uprisings. The first and third movements are written from the perspective of a parent who has lost a child, and the second movement from that of a child separated from a parent. The dominant themes of the symphony are motherhood and separation through war.
Until 1992, Górecki was known only to connoisseurs, primarily as one of several composers from the Polish School responsible for the postwar Polish music renaissance. That year, Elektra-Nonesuch released a recording of the 15-year-old symphony performed by the London Sinfonietta, that topped the classical charts in Britain and the United States. To date, it has sold more than a million copies, vastly exceeding the expected lifetime sales of a typical symphonic recording by a 20th-century composer. This success, however, has not generated similar interest in Górecki's other works.",What is the alternative name of the symphony that premiered on 4 April?
61,['KP duty'],a rifle,"Private Meredith Bixby simply cannot fall in line with army procedure, even though he has had 17 months of training. A psychologist, is assigned to turn him into a good soldier, so she enlists two fellow servicemen to help Bixby with his training. About the only thing that he can do right is remember things with his photographic memory.
Eventually they are assigned to a base in Morocco. One night they all head off to a bar where Bixby gets drunk on ""Moroccan Delights"", which he thinks are malteds. He gets involved with a femme fatale and is kidnapped by some Arabian renegades.
Abdul guards Bixby and makes him assemble a stolen cannon, knowing that Bixby had already memorized the assembly instructions back at the base. Bixby is eventually rescued by his fellow soldiers and they are all presented with medals of honor. Unfortunately, when Bixby mishandles a rifle that suddenly goes off, he damages the drinking glasses of the General and two visiting French officers. The trio (who are drinking a toast) are not hurt, but misfit Bixby gets punished with KP duty, peeling potatoes.",What does the Private fumble with to end up peeling potatoes?
62,['Mateo'],Sophie,"After listening to a morning conversation between Sophie and Simon, Sophie is buying a couch from Alex for her own apartment in working class Echo Park in Central Las Angeles.  Black musician Alex is returning to England after failing to break into films.  Alex invites Sophie to join him, Mateo and his boy, Elias to play soccer in the park.  After Sophie and Alex end up having sex and become friends.
Alex plays the role as rebound guy and Sophie admits she is still in love with her lifetime boyfriend but feels trapped.  Sophie's rich Mom finds her and tells her to go back to Simon because she never dreamed of having Black grandchildren.  Controlling rich Simon keeps telling Sophie to get over this ""whatever vacation"" and come back to him.
Alex's house sale falls through and Sophie agrees to buy it.  Alex has fallen for Sophie but she does not ask him to stay.  In fact she tells him she is returning to Simon.  His friend Mateo also agrees to reconcile with his wife Martha.  Alex cannot understand why couples reconcile into failed relationships.  Sophie and Simon have a great fun day at a fair but at day's end Sophie knows she does not love him and the relationship really is over.
Alex completes packing to move and drives off to the airport.  He leaves her favorite album in the empty house.  Sophie attends Elias' art show from the photographs he made with the camera she purchased him.  Alex keeps driving to the airport but will he turn around?  He does not.",Who is the black musician the rebound guy for?
63,['Vaughan Williams'],Ravel,"Marcel Marnat's catalogue of Ravel's complete works lists eighty-five works, including many incomplete or abandoned. Though that total is small in comparison with the output of his major contemporaries, it is nevertheless inflated by Ravel's frequent practice of writing works for piano and later rewriting them as independent pieces for orchestra. The performable body of works numbers about sixty; slightly more than half are instrumental. Ravel's music includes pieces for piano, chamber music, two piano concerti, ballet music, opera, and song cycles. He wrote no symphonies or church works.Ravel drew on many generations of French composers from Couperin and Rameau to Fauré and the more recent innovations of Satie and Debussy. Foreign influences include Mozart, Schubert, Liszt and Chopin. He considered himself in many ways a classicist, often using traditional structures and forms, such as the ternary, to present his new melodic and rhythmic content and innovative harmonies. The influence of jazz on his later music is heard within conventional classical structures in the Piano Concerto and the Violin Sonata.
Ravel placed high importance on melody, telling Vaughan Williams that there is ""an implied melodic outline in all vital music"". His themes are frequently modal instead of using the familiar major or minor scales. As a result, there are few leading notes in his output. Chords of the ninth and eleventh and unresolved appoggiaturas, such as those in the Valses nobles et sentimentales, are characteristic of Ravel's harmonic language.Dance forms appealed to Ravel, most famously the bolero and pavane, but also the minuet, forlane, rigaudon, waltz, czardas, habanera and passacaglia. National and regional consciousness was important to him, and although a planned concerto on Basque themes never materialised, his works include allusions to Hebraic, Greek, Hungarian and gypsy themes. He wrote several short pieces paying tribute to composers he admired – Borodin, Chabrier, Fauré and Haydn, interpreting their characteristics in a Ravellian style. Another important influence was literary rather than musical: Ravel said that he learnt from Poe that ""true art is a perfect balance between pure intellect and emotion"", with the corollary that a piece of music should be a perfectly balanced entity with no irrelevant material allowed to intrude.",What is the name of the person on whose later music the influence of jazz is heard within structures in the Piano Concerto and the Violin Sonata?
64,['Peter Pears'],Tippett,"On his release, Tippett returned to his duties at Morley, where he boosted the college's Purcell tradition by persuading Alfred Deller, the countertenor, to sing several Purcell odes at a  concert on 21 October 1944—the first modern use of a countertenor  in Purcell's music. Tippett formed a fruitful musical friendship with Benjamin Britten and Peter Pears, for whom he wrote the cantata Boyhood's End for tenor and piano. Encouraged by Britten, Tippett made arrangements for the first performance of A Child of Our Time, at London's Adelphi Theatre on 19 March 1944. Goehr conducted the London Philharmonic Orchestra, and Morley's choral forces were augmented by the London Regional Civil Defence Choir. Pears sang the tenor solo part, and other soloists were borrowed from Sadler's Wells Opera. The work was well received by critics and the public, and eventually became one of the most frequently performed large-scale choral works of the post-Second World War period, in Britain and overseas. Tippett's immediate reward was a commission from the BBC for a motet, The Weeping Babe, which became his first broadcast work when it was aired on 24 December 1944. He also began to give regular radio talks on music.In 1946 Tippett organised at Morley the first British performance of Monteverdi's Vespers, adding his own organ Preludio for the occasion. Tippett's compositions in the immediate postwar years included his  First Symphony, performed under Sargent in November 1945, and the String Quartet No. 3, premiered in October 1946 by the Zorian Quartet. His main creative energies were increasingly devoted to his first major opera, The Midsummer Marriage. During the six years from 1946 he composed almost no other music, apart from the Birthday Suite for Prince Charles (1948).",What is the name of the person who wrote the cantata Boyhood's End for tenor and piano?
65,['Carrie Fisher'],Love,"In 1993, Love and husband Kurt Cobain performed an acoustic set together at the Rock Against Rape benefit in Los Angeles, which raised awareness and provided resources for victims of sexual abuse. In 2000, Love publicly advocated for reform of the record industry in a personal letter published by Salon. In the letter, Love said: ""It's not piracy when kids swap music over the Internet using Napster or Gnutella or Freenet or iMesh or beaming their CDs into a My.MP3.com or MyPlay.com music locker. It's piracy when those guys that run those companies make side deals with the cartel lawyers and label heads so that they can be 'the label's' friend', and not the artists."" In a subsequent interview with Carrie Fisher, she said that she was interested in starting a union for recording artists, and also discussed race relations in the music industry, advocating for record companies to ""put money back into the black community [whom] white people have been stealing from for years.""Love has been a long-standing supporter of LGBT causes. She has frequently collaborated with Los Angeles Gay and Lesbian Center, taking part in the center's ""An Evening with Women"" events. The proceeds of the event help provide food and shelter for homeless youth; services for seniors; legal assistance; domestic violence services; health and mental health services, and cultural arts programs. Love participated with Linda Perry for the event in 2012, and performed alongside Aimee Mann and comedian Wanda Sykes. Speaking on her collaboration on the event, Love said: ""Seven thousand kids in Los Angeles a year go out on the street, and forty percent of those kids are gay, lesbian, or transgendered. They come out to their parents, and become homeless... for whatever reason, I don't really know why, but gay men have a lot of foundations—I've played many of them—but the lesbian side of it doesn't have as much money and/or donors, so we're excited that this has grown to cover women and women's affairs.""She has also contributed to AIDS organizations, partaking in benefits for amfAR and the RED Campaign. In May 2011, she donated six of her husband Cobain's personal vinyl records for auction at Mariska Hargitay's Joyful Heart Foundation event for victims of child abuse, rape, and domestic violence. She has also supported the Sophie Lancaster Foundation.","What is the last name of the person who has contributed to AIDS organizations, partaking in benefits for amfAR and the RED Campaign?"
66,['Cooper'],Luce,"The film opens on Rachel and Hector's (Matthew Goode) wedding day in North London, England. Rachel's bossy and overbearing mother, Tess, is in charge of planning the wedding. Rachel's dazed father Ned and her much younger sister Henrietta are  supportive. Prior to Rachel arriving and the ceremony beginning, flower shop owner Luce who was contracted by Tess as the wedding florist, and Henrietta are rushing along while chatting with Hector and Cooper ""Coop"" (Darren Boyd). Luce answers Henrietta's trick question which makes Henrietta take an immediate liking to her, and she asks if Luce can sit by her during the wedding. Rachel arrives with her father and the ceremony begins. As Rachel is walking down the aisle, her eyes wander and she makes eye contact with Luce. The ceremony continues according to plan, and Rachel and Hector marry. At the reception afterwards, Luce introduces herself to Rachel as the one who did the flowers as she is about to get punch. Rachel nervously blocks Luce's attempt to get a drink, and when she questions why she can't have any, Rachel reveals that her wedding ring accidentally fell in. The two share a moment together, but it is over after Luce fishes the ring out of the punch bowl and goes on her way.
Some time later, Rachel goes to Luce's shop and invites her to dinner with Hector and, unknown to Luce, Cooper, a perennial bachelor and self-professed Lothario. Rachel has planned to set up Luce with Coop, while Luce confides to Heck moments before Coop arrives that she's a lesbian. Heck takes this news in stride and is bemused as Coop is undeterred in his attempts to seduce Luce. During the meal, when Coop starts bragging, Luce espouses she believes in love at first sight, while Rachel says it takes time to find the right person. Later on that night, Rachel and Luce share a moment together on the balcony as it rains.",Who is the perennial bachelor romantically interested in?
